Order,Species,AdultBodyMass,Temperature,SexualMaturityAge,TrophicLevel,NeonateBodyMass,GestationLen,SocialGrpSize,WeaningAge,Social
Artiodactyla,zebra,15654.75,24.786,,2.0,1704.99,223.89,,0.0373698630137,
Diprotodontia,caudatus,23.05,20.307,1.27134246575,2.0,,,3.0,0.208328767123,False
Diprotodontia,concinnus,15.96,16.241,,,0.01,52.14,,0.13695890411,
Diprotodontia,lepidus,8.03,13.035,,2.0,,,,0.246547945205,
Diprotodontia,nanus,26.85,13.185,0.53095890411,2.0,0.01,,,0.171232876712,
Primates,agilis,7105.62,24.074,,,,,,,
Primates,atys,6941.24,25.564,3.62101369863,,527.17,165.08,35.0,,False
Primates,chrysogaster,,24.859,,,,,,,
Primates,galeritus,7077.66,27.378,7.4957260274,1.0,,174.43,20.35,,False
Primates,sanjei,,24.057,,,,,,,
Primates,torquatus,7293.07,25.243,3.61331506849,1.0,,168.98,26.85,,False
Primates,albogularis,,22.702,,2.0,,,32.5,,False
Primates,ascanius,3540.24,23.661,4.70884931507,2.0,371.0,148.5,26.3,0.401479452055,False
Primates,campbelli,3627.73,25.298,,1.0,,180.8,11.0,0.994328767123,False
Primates,cephus,3444.88,24.448,4.1695890411,2.0,337.19,169.51,11.0,0.994328767123,False
Primates,denti,,23.071,,,,,,,
Primates,diana,4358.91,24.813,6.24643835616,2.0,466.9,,24.95,0.994328767123,False
Primates,doggetti,,18.8,,,,,,,
Primates,dryas,2784.06,24.893,,,,,,,
Primates,erythrogaster,3444.88,26.319,,2.0,,,,,
Primates,erythrotis,3254.98,24.093,,2.0,,,,,
Primates,hamlyni,,22.621,,,,,,,
Primates,kandti,,17.349,,,,,,,
Primates,lhoesti,5307.47,22.556,,2.0,,,17.4,,False
Primates,lowei,,26.104,,,,,,,
Primates,mitis,5041.29,22.149,5.61438356164,2.0,402.0,138.39,16.0,1.88515068493,False
Primates,mona,3980.17,25.697,,,280.49,,,,
Primates,neglectus,5324.52,24.112,5.68873972603,2.0,259.95,172.07,4.5,1.14416438356,False
Primates,nictitans,5256.91,24.696,4.61531506849,2.0,403.83,169.51,16.0,,False
Primates,petaurista,3233.67,25.885,,,,,14.0,,False
Primates,pogonias,3578.27,24.526,4.61531506849,2.0,337.19,169.51,15.0,,False
Primates,preussi,5132.57,24.541,,2.0,,,3.0,,False
Primates,roloway,,26.242,,,,,,,
Primates,sclateri,3067.29,26.033,,,,,,,
Primates,solatus,5256.91,24.816,,,,,10.0,,False
Primates,wolfi,3255.18,23.975,,,435.0,,,,
Carnivora,thous,5741.66,22.996,0.764794520548,2.0,140.0,57.18,,0.198164383562,
Artiodactyla,elaphus,240867.13,2.773,1.80797260274,1.0,8255.82,235.61,17.5,0.286684931507,False
Artiodactyla,nippon,52999.99,9.855,1.41950684932,1.0,4277.11,223.66,7.5,0.541643835616,False
Chiroptera,aloysiisabaudiae,,24.458,,,,,,,
Chiroptera,ansorgei,,22.689,,,,68.43,,0.199534246575,
Chiroptera,bemmeleni,,23.937,,,,,,,
Chiroptera,bivittatus,15.42,22.086,,,,,,,
Chiroptera,bregullae,,23.63,,,,,,,
Chiroptera,chapini,,23.669,,,,,,,
Chiroptera,gallagheri,,23.74,,,,,,,
Chiroptera,jobensis,20.71,24.672,,3.0,,,,,
Chiroptera,johorensis,,25.2,,3.0,,,,,
Chiroptera,leucogaster,,24.306,,,,,,,
Chiroptera,major,15.17,25.965,,,,,,,
Chiroptera,nigeriae,20.14,23.335,,,,,,,
Chiroptera,plicatus,21.83,25.006,,3.0,4.5,88.64,,,
Chiroptera,pumilus,10.98,23.879,0.386219178082,3.0,3.63,62.57,,0.0671232876712,
Chiroptera,russatus,16.98,24.019,,,,,,,
Chiroptera,shortridgei,,21.471,,,,,,,
Chiroptera,solomonis,,26.959,,,,,,,
Chiroptera,tomensis,7.48,,,,,,,,
Rodentia,sichuanensis,31.51,13.2,,,,,,,
Rodentia,arenarius,23.0,18.115,,,,,,,
Rodentia,artus,,19.518,,1.0,,,,,
Rodentia,baileyi,28.44,19.761,,2.0,,,,,
Rodentia,californicus,23.01,11.704,,,1.5,25.16,,0.0630136986301,
Rodentia,dalquesti,,20.062,,,,,,,
Rodentia,eremicus,,17.44,,,,,,,
Rodentia,fallax,19.19,14.493,0.462547945205,1.0,,25.0,1.0,,True
Rodentia,formosus,20.02,11.714,1.03443835616,,1.0,28.0,,0.0575342465753,
Rodentia,goldmani,,20.52,,,,,,,
Rodentia,hispidus,37.24,14.922,,1.0,,,1.0,0.0826849315068,True
Rodentia,intermedius,14.94,16.066,,,,,,,
Rodentia,lineatus,23.0,14.454,,1.0,,,,,
Rodentia,nelsoni,15.53,17.355,,2.0,,30.63,,,
Rodentia,penicillatus,15.57,17.196,,,,26.0,,,
Rodentia,pernix,17.0,21.241,,1.0,,,,,
Rodentia,rudinoris,,17.957,,,,,,,
Rodentia,spinatus,16.34,17.758,,,,,,,
Rodentia,barabensis,,1.191,,,2.0,,,0.0547945205479,
Rodentia,kamensis,,4.112,,,,,,,
Rodentia,longicaudatus,,0.66,,,,,,,
Rodentia,migratorius,30.59,6.396,,,,12.0,,0.0671232876712,
Rodentia,sokolovi,,1.425,,,,,,,
Rodentia,cricetus,428.95,3.56,0.236931506849,,4.71,19.5,,0.0680821917808,
Soricomorpha,aleksandrisi,,20.556,,,,,,,
Soricomorpha,allex,,18.098,,,,,,,
Soricomorpha,andamanensis,,26.8,,,,,,,
Soricomorpha,ansellorum,,20.658,,,,,,,
Soricomorpha,arabica,,23.522,,,,,,,
Soricomorpha,arispa,,11.978,,,,,,,
Soricomorpha,armenica,,6.889,,,,,,,
Soricomorpha,attenuata,,19.492,,,,,,,
Soricomorpha,attila,,23.995,,,,,,,
Soricomorpha,baileyi,,16.498,,,,,,,
Soricomorpha,baluensis,,,,,,,,,
Soricomorpha,batesi,16.49,23.908,,,,,,,
Soricomorpha,beatus,10.55,24.008,,,,,,,
Soricomorpha,beccarii,,22.066,,,,,,,
Soricomorpha,bottegi,3.49,24.838,,,,,,,
Soricomorpha,bottegoides,,-1.589,,,,,,,
Soricomorpha,brunnea,,,,,,,,,
Soricomorpha,buettikoferi,,25.67,,,,,,,
Soricomorpha,caliginea,,24.517,,,,,,,
Soricomorpha,canariensis,7.5,,,,,,,,
Soricomorpha,caspica,,,,,,,,,
Soricomorpha,cinderella,,28.159,,,,,,,
Soricomorpha,congobelgica,,21.108,,,,,,,
Soricomorpha,crenata,,23.909,,,,,,,
Soricomorpha,crossei,8.0,25.784,,,,,,,
Soricomorpha,cyanea,8.58,18.94,,2.0,,,,,
Soricomorpha,denti,,24.22,,,,,,,
Soricomorpha,desperata,,20.239,,,,,,,
Soricomorpha,dhofarensis,,21.1,,,,,,,
Soricomorpha,dolichura,5.63,24.196,,,,,,,
Soricomorpha,douceti,4.3,25.978,,,,,,,
Soricomorpha,dsinezumi,,9.759,,,,,,,
Soricomorpha,eisentrauti,,21.4,,,,,,,
Soricomorpha,elgonius,6.5,21.264,,,,,,,
Soricomorpha,elongata,,18.854,,,,,,,
Soricomorpha,erica,,20.066,,,,,,,
Soricomorpha,fischeri,,21.345,,,,,,,
Soricomorpha,flavescens,31.22,15.304,,3.0,2.25,25.0,,,
Soricomorpha,floweri,,21.105,,,,,,,
Soricomorpha,foetida,,,,,,,,,
Soricomorpha,foxi,21.0,24.799,,,,,,,
Soricomorpha,fuliginosa,12.0,21.554,,,,,,,
Soricomorpha,fulvastra,10.0,26.593,,,,,,,
Soricomorpha,fumosa,14.49,17.533,,,,,,,
Soricomorpha,fuscomurina,5.6,23.712,,2.0,0.59,,,0.0473698630137,
Soricomorpha,glassi,,10.055,,,,,,,
Soricomorpha,gmelini,,,,,,,,,
Soricomorpha,goliath,87.92,24.273,,,,,,,
Soricomorpha,gracilipes,6.69,18.6,,,,,,,
Soricomorpha,grandiceps,23.0,25.856,,,,,,,
Soricomorpha,grandis,,24.9,,,,,,,
Soricomorpha,grassei,,23.983,,,,,,,
Soricomorpha,grayi,10.7,24.062,,3.0,,,,,
Soricomorpha,greenwoodi,,26.921,,,,,,,
Soricomorpha,harenna,,-8.5,,,,,,,
Soricomorpha,hildegardeae,10.28,23.367,,,,,,,
Soricomorpha,hilliana,,,,,,,,,
Soricomorpha,hirta,15.8,21.676,,2.0,1.0,18.0,1.0,0.048602739726,True
Soricomorpha,hispida,,26.8,,,,,,,
Soricomorpha,orii,,,,,,,,,
Soricomorpha,palawanensis,,24.978,,,,,,,
Soricomorpha,paradoxura,,22.666,,,,,,,
Soricomorpha,parvipes,,22.651,,,,,,,
Soricomorpha,pasha,6.5,26.542,,,,,,,
Soricomorpha,pergrisea,,0.67,,,,,,,
Soricomorpha,phaeura,,15.75,,,,,,,
Soricomorpha,picea,,22.15,,,,,,,
Soricomorpha,pitmani,,21.221,,,,,,,
Soricomorpha,planiceps,2.5,24.818,,,,,,,
Soricomorpha,poensis,17.05,25.281,,,,,,,
Soricomorpha,polia,,24.0,,,,,,,
Soricomorpha,pullata,,5.884,,,,,,,
Soricomorpha,raineyi,14.49,21.549,,,,,,,
Soricomorpha,ramona,,,,,,,,,
Soricomorpha,rapax,,,,,,,,,
Soricomorpha,religiosa,7.0,21.909,,,,,,,
Soricomorpha,rhoditis,,20.896,,,,,,,
Soricomorpha,roosevelti,,23.459,,,,,,,
Soricomorpha,russula,9.89,10.048,0.183232876712,3.0,0.8,29.0,,0.0652602739726,
Soricomorpha,selina,,22.906,,,,,,,
Soricomorpha,serezkyensis,,14.447,,,,,,,
Soricomorpha,shantungensis,,,,,,,,,
Soricomorpha,sibirica,,-0.088,,,,,,,
Soricomorpha,sicula,,16.037,,,,,,,
Soricomorpha,silacea,7.0,18.184,,3.0,,,,,
Soricomorpha,smithii,,24.1,,,,,,,
Soricomorpha,somalica,11.5,23.133,,,,,,,
Soricomorpha,stenocephala,,17.45,,,,,,,
Soricomorpha,suaveolens,7.35,,0.18895890411,2.0,0.53,27.15,,0.0767945205479,
Soricomorpha,susiana,,22.9,,,,,,,
Chiroptera,kobayashii,,,,,,,,,
Chiroptera,matroka,6.57,21.875,,3.0,,,,,
Chiroptera,nasutus,7.91,21.442,,,,,,,
Chiroptera,nilssonii,10.72,0.273,,3.0,4.52,,,0.0712328767123,
Chiroptera,pachyotis,8.1,20.023,,,,,,,
Rodentia,lichtensteini,,11.493,,,,,,,
Rodentia,dorsatum,7419.46,0.903,2.11663013699,1.0,490.59,210.99,1.0,0.0445753424658,True
Carnivora,barbatus,279999.99,,6.02509589041,2.0,34536.93,285.24,,0.0573698630137,
Rodentia,canus,,17.3,,,,,,,
Chiroptera,bombifrons,16.28,23.916,,1.0,,,,,
Chiroptera,sezekorni,15.87,25.147,,,0.85,,,,
Primates,patas,7966.3,26.36,3.41389041096,2.0,621.67,167.2,28.0,0.580246575342,False
Chiroptera,platyops,,26.553,,,,,,,
Chiroptera,serotinus,23.09,9.939,,3.0,5.28,65.44,,0.0843835616438,
Chiroptera,tatei,,17.09,,,,,,,
Carnivora,bourloni,,,,,,,,,
Carnivora,cristata,1863.23,24.195,,3.0,,,,,
Carnivora,genetta,1756.17,22.899,3.45956164384,2.0,77.75,74.18,,0.196712328767,
Carnivora,johnstoni,2225.0,24.668,,,,,,,
Carnivora,maculata,1950.0,23.319,,2.0,,,,,
Carnivora,pardina,,26.243,,,,,,,
Carnivora,piscivora,1648.05,23.626,,3.0,,,,,
Carnivora,poensis,,,,,,,,,
Rodentia,collinus,,,,,,,,,
Rodentia,dorsalis,67.5,17.506,,,,,,,
Rodentia,sublineatus,89.99,20.039,,,,,,,
Rodentia,kempi,26.4,16.083,,,,,,,
Diprotodontia,bennettianus,10458.82,21.613,,,,,,1.96698630137,
Diprotodontia,dorianus,8976.58,19.463,,2.0,,,2.0,1.63915068493,False
Diprotodontia,goodfellowi,7948.78,19.28,,1.0,,37.94,,0.986273972603,
Rodentia,torresi,28.0,19.737,,,,,,,
Artiodactyla,bison,624577.07,-0.535,2.52539726027,1.0,20000.0,283.17,30.0,0.787178082192,False
Artiodactyla,bonasus,675876.7,,2.30635616438,1.0,23358.61,265.99,35.0,0.787178082192,False
Rodentia,biswasi,,15.028,,,,,,,
Rodentia,afghanus,,9.078,,,,,,,
Rodentia,bucharensis,,4.366,,,,,,,
Soricomorpha,brevicauda,18.56,7.088,0.19504109589,2.0,0.89,20.58,,0.0600273972603,
Soricomorpha,carolinensis,11.91,18.289,,2.0,,,,,
Soricomorpha,hylophaga,14.49,14.485,,,,,,,
Soricomorpha,peninsulae,,,,,,,,,
Artiodactyla,togeanensis,,,,,,,,,
Rodentia,musculus,8.99,20.707,,1.0,1.66,,,,
Rodentia,taylori,7.43,18.874,0.187260273973,1.0,1.15,21.99,,0.0558356164384,
Soricomorpha,griselda,,,,,,,,,
Soricomorpha,quadraticauda,12.5,,,,,,,,
Soricomorpha,wardi,,7.809,,,,,,,
Rodentia,breviceps,36.79,21.25,,3.0,,,,,
Artiodactyla,dichotomus,112518.53,23.321,,1.0,4199.99,272.37,3.0,,False
Rodentia,offella,,,,,,,,,
Rodentia,torrei,,,,,,,,,
Lagomorpha,idahoensis,431.19,6.898,0.692410958904,1.0,,38.99,,,
